,count,subject
0,58.0,sub-CBM00254
1,58.0,sub-CBM00181
2,58.0,sub-CBM00222
3,58.0,sub-CBM00104
4,58.0,sub-CBM00244
5,58.0,sub-CBM00093
6,58.0,sub-CBM00036
7,58.0,sub-CBM00142
8,58.0,sub-CBM00160
9,58.0,sub-CBM00185
10,58.0,sub-CBM00218
11,58.0,sub-CBM00083
12,58.0,sub-CBM00052
13,62.0,sub-CBM00011
14,62.0,sub-CBM00214
15,62.0,sub-CBM00163
16,62.0,sub-CBM00207
17,62.0,sub-CBM00074
18,62.0,sub-CBM00009
19,62.0,sub-CBM00048
20,62.0,sub-CBM00122
21,62.0,sub-CBM00259
22,62.0,sub-CBM00179
23,62.0,sub-CBM00152
24,62.0,sub-CBM00182
25,61.0,sub-CBM00056
26,62.0,sub-CBM00081
27,62.0,sub-CBM00269
28,62.0,sub-CBM00046
29,62.0,sub-CBM00156
30,62.0,sub-CBM00101
31,62.0,sub-CBM00281
32,62.0,sub-CBM00016
33,62.0,sub-CBM00195
34,62.0,sub-CBM00150
35,62.0,sub-CBM00132
36,62.0,sub-CBM00096
37,62.0,sub-CBM00184
38,62.0,sub-CBM00091
39,62.0,sub-CBM00028
40,62.0,sub-CBM00057
41,62.0,sub-CBM00211
42,62.0,sub-CBM00099
43,62.0,sub-CBM00242
44,62.0,sub-CBM00026
45,62.0,sub-CBM00002
46,123.0,sub-CBM00105
47,123.0,sub-CBM00177
48,62.0,sub-CBM00106
49,120.0,sub-CBM00247
50,120.0,sub-CBM00140
51,62.0,sub-CBM00113
52,62.0,sub-CBM00262
53,120.0,sub-CBM00072
54,62.0,sub-CBM00199
55,123.0,sub-CBM00204
56,123.0,sub-CBM00115
57,62.0,sub-CBM00092
58,62.0,sub-CBM00058
59,62.0,sub-CBM00116
60,62.0,sub-CBM00090
61,62.0,sub-CBM00043
62,62.0,sub-CBM00108
63,120.0,sub-CBM00012
64,62.0,sub-CBM00018
65,62.0,sub-CBM00186
66,120.0,sub-CBM00241
67,120.0,sub-CBM00050
68,62.0,sub-CBM00041
69,120.0,sub-CBM00232
70,62.0,sub-CBM00109
71,62.0,sub-CBM00021
72,62.0,sub-CBM00191
73,62.0,sub-CBM00275
74,120.0,sub-CBM00146
75,123.0,sub-CBM00038
76,62.0,sub-CBM00212
77,62.0,sub-CBM00144
78,62.0,sub-CBM00045
79,62.0,sub-CBM00170
80,62.0,sub-CBM00215
81,62.0,sub-CBM00264
82,62.0,sub-CBM00006
83,62.0,sub-CBM00274
84,62.0,sub-CBM00235
85,62.0,sub-CBM00226
86,123.0,sub-CBM00128
87,123.0,sub-CBM00086
88,62.0,sub-CBM00148
89,62.0,sub-CBM00071
90,120.0,sub-CBM00219
91,123.0,sub-CBM00042
92,120.0,sub-CBM00139
93,123.0,sub-CBM00224
94,123.0,sub-CBM00234
95,62.0,sub-CBM00209
96,62.0,sub-CBM00208
97,62.0,sub-CBM00130
98,123.0,sub-CBM00001
99,62.0,sub-CBM00261
100,62.0,sub-CBM00137
101,120.0,sub-CBM00164
102,62.0,sub-CBM00196
103,123.0,sub-CBM00229
104,62.0,sub-CBM00166
105,62.0,sub-CBM00055
106,123.0,sub-CBM00278
107,120.0,sub-CBM00080
108,123.0,sub-CBM00049
109,115.0,sub-CBM00190
110,62.0,sub-CBM00053
111,123.0,sub-CBM00020
112,62.0,sub-CBM00051
113,62.0,sub-CBM00068
114,62.0,sub-CBM00129
115,62.0,sub-CBM00054
116,123.0,sub-CBM00134
117,62.0,sub-CBM00273
118,62.0,sub-CBM00155
119,62.0,sub-CBM00233
120,62.0,sub-CBM00236
121,123.0,sub-CBM00231
122,62.0,sub-CBM00133
123,62.0,sub-CBM00230
124,62.0,sub-CBM00062
125,62.0,sub-CBM00248
126,120.0,sub-CBM00253
127,123.0,sub-CBM00030
128,62.0,sub-CBM00119
129,62.0,sub-CBM00034
130,62.0,sub-CBM00266
131,62.0,sub-CBM00270
132,62.0,sub-CBM00205
133,120.0,sub-CBM00268
134,62.0,sub-CBM00167
135,62.0,sub-CBM00126
136,62.0,sub-CBM00279
137,60.0,sub-CBM00120
138,123.0,sub-CBM00217
139,123.0,sub-CBM00125
140,123.0,sub-CBM00238
141,62.0,sub-CBM00206
142,59.0,sub-CBM00037
143,120.0,sub-CBM00013
144,62.0,sub-CBM00123
145,123.0,sub-CBM00201
146,123.0,sub-CBM00078
147,123.0,sub-CBM00245
148,62.0,sub-CBM00265
149,120.0,sub-CBM00282
150,62.0,sub-CBM00223
151,62.0,sub-CBM00060
152,123.0,sub-CBM00138
153,62.0,sub-CBM00031
154,62.0,sub-CBM00256
155,123.0,sub-CBM00061
156,123.0,sub-CBM00114
157,62.0,sub-CBM00004
158,62.0,sub-CBM00127
159,62.0,sub-CBM00202
160,62.0,sub-CBM00094
161,62.0,sub-CBM00157
162,62.0,sub-CBM00117
163,120.0,sub-CBM00102
164,62.0,sub-CBM00088
165,120.0,sub-CBM00249
166,62.0,sub-CBM00110
